RUN	PetStore.PetStoreSimulation	petstoresimulation	1562715094348	 	3.1.3
USER	Scenario Name	1	START	1562715094961	1562715094961
REQUEST	1		Home	1562715094989	1562715095011	OK	 
USER	Scenario Name	2	START	1562715095971	1562715095971
REQUEST	2		Home	1562715095972	1562715095990	OK	 
REQUEST	1		PostPet	1562715096047	1562715096051	OK	 
REQUEST	1		GetPets	1562715096053	1562715096066	OK	 
REQUEST	1		Home	1562715096066	1562715096068	OK	 
USER	Scenario Name	3	START	1562715096968	1562715096968
REQUEST	3		Home	1562715096969	1562715096986	OK	 
REQUEST	2		PostPet	1562715097011	1562715097015	OK	 
REQUEST	2		GetPets	1562715097016	1562715097020	OK	 
REQUEST	2		Home	1562715097020	1562715097022	OK	 
REQUEST	1		PostPet	1562715097069	1562715097072	OK	 
REQUEST	1		DeletePet	1562715097115	1562715097117	OK	 
USER	Scenario Name	1	END	1562715094961	1562715097121
USER	Scenario Name	4	START	1562715097969	1562715097969
REQUEST	4		Home	1562715097970	1562715097985	OK	 
REQUEST	3		PostPet	1562715098000	1562715098004	OK	 
REQUEST	3		GetPets	1562715098005	1562715098010	OK	 
REQUEST	3		Home	1562715098011	1562715098013	OK	 
REQUEST	2		PostPet	1562715098020	1562715098022	OK	 
REQUEST	2		DeletePet	1562715098024	1562715098026	OK	 
USER	Scenario Name	2	END	1562715095971	1562715098027
USER	Scenario Name	5	START	1562715098970	1562715098970
REQUEST	5		Home	1562715098971	1562715098987	OK	 
REQUEST	4		PostPet	1562715099001	1562715099004	OK	 
REQUEST	4		GetPets	1562715099005	1562715099008	OK	 
REQUEST	4		Home	1562715099009	1562715099011	OK	 
REQUEST	3		PostPet	1562715099018	1562715099020	OK	 
REQUEST	3		DeletePet	1562715099021	1562715099024	OK	 
USER	Scenario Name	3	END	1562715096968	1562715099025
REQUEST	5		PostPet	1562715100010	1562715100012	OK	 
REQUEST	5		GetPets	1562715100013	1562715100016	OK	 
REQUEST	5		Home	1562715100017	1562715100020	OK	 
REQUEST	4		PostPet	1562715100018	1562715100021	OK	 
REQUEST	4		DeletePet	1562715100022	1562715100025	OK	 
USER	Scenario Name	4	END	1562715097969	1562715100026
REQUEST	5		PostPet	1562715101019	1562715101023	OK	 
REQUEST	5		DeletePet	1562715101024	1562715101027	OK	 
USER	Scenario Name	5	END	1562715098970	1562715101028
